"Wavelength, µm","n","k"
0.5,2.1587,0.00076093
0.50767,2.1557,0.00077408
0.51547,2.1527,0.00078743
0.52338,2.1498,0.000801
0.53141,2.1471,0.00081478
0.53957,2.1444,0.00082878
0.54785,2.1417,0.000843
0.55626,2.1392,0.00085746
0.5648,2.1367,0.00087214
0.57347,2.1343,0.00088707
0.58227,2.132,0.00090224
0.59121,2.1297,0.00091765
0.60028,2.1275,0.00093333
0.60949,2.1254,0.00094926
0.61885,2.1233,0.00096545
0.62835,2.1212,0.00098192
0.63799,2.1193,0.00099866
0.64778,2.1174,0.0010157
0.65773,2.1155,0.001033
0.66782,2.1137,0.0010506
0.67807,2.112,0.0010685
0.68848,2.1102,0.0010867
0.69905,2.1086,0.0011053
0.70978,2.107,0.0011241
0.72067,2.1054,0.0011433
0.73173,2.1039,0.0011629
0.74296,2.1024,0.0011827
0.75437,2.1009,0.001203
0.76595,2.0995,0.0012236
0.7777,2.0981,0.0012446
0.78964,2.0968,0.0012659
0.80176,2.0955,0.0012877
0.81407,2.0942,0.0013098
0.82656,2.093,0.0013324
0.83925,2.0918,0.0013553
0.85213,2.0906,0.0013788
0.86521,2.0894,0.0014026
0.87849,2.0883,0.0014269
0.89197,2.0872,0.0014517
0.90566,2.0861,0.001477
0.91956,2.0851,0.0015027
0.93368,2.084,0.001529
0.94801,2.083,0.0015558
0.96256,2.082,0.0015831
0.97733,2.0811,0.001611
0.99233,2.0801,0.0016395
1.0076,2.0792,0.0016685
1.023,2.0783,0.0016982
1.0387,2.0774,0.0017285
1.0547,2.0765,0.0017594
1.0709,2.0757,0.0017909
1.0873,2.0748,0.0018232
1.104,2.074,0.0018562
1.1209,2.0732,0.0018899
1.1381,2.0724,0.0019243
1.1556,2.0716,0.0019595
1.1733,2.0708,0.0019956
1.1914,2.07,0.0020324
1.2096,2.0692,0.0020701
1.2282,2.0685,0.0021087
1.2471,2.0677,0.0021483
1.2662,2.067,0.0021888
1.2856,2.0662,0.0022303
1.3054,2.0655,0.0022728
1.3254,2.0648,0.0023164
1.3457,2.064,0.0023611
1.3664,2.0633,0.002407
1.3874,2.0626,0.0024541
1.4087,2.0619,0.0025025
1.4303,2.0612,0.0025521
1.4522,2.0604,0.0026032
1.4745,2.0597,0.0026557
1.4972,2.059,0.0027097
1.5201,2.0583,0.0027653
1.5435,2.0575,0.0028226
1.5672,2.0568,0.0028815
1.5912,2.0561,0.0029424
1.6157,2.0554,0.0030051
1.6404,2.0546,0.0030699
1.6656,2.0539,0.0031368
1.6912,2.0531,0.0032061
1.7172,2.0523,0.0032777
1.7435,2.0516,0.0033518
1.7703,2.0508,0.0034287
1.7974,2.05,0.0035085
1.825,2.0492,0.0035914
1.853,2.0484,0.0036776
1.8815,2.0475,0.0037674
1.9104,2.0467,0.003861
1.9397,2.0458,0.0039587
1.9695,2.0449,0.0040609
1.9997,2.044,0.0041679
2.0304,2.0431,0.0042803
2.0615,2.0422,0.0043984
2.0932,2.0412,0.0045228
2.1253,2.0402,0.0046542
2.1579,2.0392,0.0047933
2.1911,2.0382,0.004941
2.2247,2.0371,0.0050983
2.2588,2.036,0.0052663
2.2935,2.0349,0.0054463
2.3287,2.0338,0.0056401
2.3644,2.0326,0.0058494
2.4007,2.0314,0.0060766
2.4376,2.0301,0.0063244
2.475,2.0288,0.0065961
2.513,2.0274,0.0068956
2.5516,2.026,0.0072279
2.5907,2.0246,0.0075989
2.6305,2.0231,0.0080159
2.6709,2.0215,0.0084878
2.7119,2.0199,0.0090258
2.7535,2.0183,0.0096432
2.7957,2.0166,0.010356
2.8387,2.0149,0.011185
2.8822,2.0131,0.012151
2.9265,2.0114,0.013278
2.9714,2.0097,0.014589
3.017,2.0082,0.016098
3.0633,2.0068,0.0178
3.1103,2.0058,0.019651
3.1581,2.0051,0.02155
3.2065,2.0049,0.023326
3.2557,2.0052,0.024758
3.3057,2.0057,0.025632
3.3565,2.0063,0.025833
3.408,2.0067,0.025395
3.4603,2.0066,0.024479
3.5134,2.006,0.0233
3.5673,2.0049,0.022047
3.6221,2.0033,0.020851
3.6777,2.0013,0.019788
3.7341,1.9991,0.018887
3.7914,1.9966,0.018151
3.8496,1.994,0.01757
3.9087,1.9912,0.017129
3.9687,1.9883,0.016811
4.0296,1.9853,0.016601
4.0915,1.9823,0.016483
4.1543,1.9791,0.016446
4.218,1.9758,0.016481
4.2828,1.9725,0.01658
4.3485,1.969,0.016736
4.4153,1.9654,0.016945
4.483,1.9618,0.017202
4.5518,1.958,0.017504
4.6217,1.9541,0.017849
4.6926,1.9501,0.018235
4.7647,1.946,0.018662
4.8378,1.9417,0.019129
4.9121,1.9373,0.019635
4.9875,1.9328,0.020181
5.064,1.9281,0.020768
5.1417,1.9232,0.021396
5.2207,1.9182,0.022065
5.3008,1.9129,0.022779
5.3821,1.9075,0.023538
5.4648,1.9019,0.024344
5.5486,1.8961,0.0252
5.6338,1.8901,0.026108
5.7203,1.8839,0.02707
5.8081,1.8774,0.028091
5.8972,1.8707,0.029172
5.9877,1.8637,0.030319
6.0796,1.8564,0.031535
6.173,1.8488,0.032825
6.2677,1.841,0.034194
6.3639,1.8328,0.035648
6.4616,1.8243,0.037192
6.5608,1.8154,0.038835
6.6615,1.8061,0.040582
6.7637,1.7964,0.042444
6.8675,1.7863,0.044429
6.9729,1.7758,0.046547
7.08,1.7648,0.048811
7.1886,1.7532,0.051234
7.299,1.7412,0.053831
7.411,1.7285,0.056618
7.5247,1.7152,0.059615
7.6402,1.7013,0.062843
7.7575,1.6867,0.066328
7.8766,1.6713,0.070099
7.9975,1.655,0.07419
8.1202,1.6379,0.07864
8.2449,1.6199,0.083496
8.3714,1.6008,0.088813
8.4999,1.5806,0.094658
8.6304,1.5591,0.10111
8.7628,1.5363,0.10827
8.8973,1.512,0.11625
9.0339,1.4862,0.12522
9.1726,1.4585,0.13536
9.3133,1.4288,0.14691
9.4563,1.397,0.16021
9.6014,1.3628,0.17567
9.7488,1.3261,0.19387
9.8984,1.2865,0.21559
10.05,1.2442,0.24188
10.205,1.1993,0.27417
10.361,1.1526,0.3143
10.52,1.106,0.36447
10.682,1.0633,0.42658
10.846,1.0305,0.50067
11.012,1.0151,0.58222
11.181,1.0216,0.66022
11.353,1.0455,0.71989
11.527,1.0702,0.7518
11.704,1.0754,0.76162
11.884,1.0507,0.76774
12.066,1.0003,0.78837
12.251,0.9355,0.83374
12.439,0.86856,0.90637
12.63,0.80913,1.0037
12.824,0.76322,1.1207
13.021,0.73326,1.2526
13.221,0.71975,1.3962
13.424,0.72305,1.5509
13.63,0.74504,1.7179
13.839,0.79079,1.9
14.051,0.87152,2.1002
14.267,1.0104,2.3172
14.486,1.2494,2.5262
14.708,1.6202,2.6263
14.934,1.9791,2.469
15.163,2.0723,2.2094
15.396,2.0132,2.1118
15.632,1.9983,2.1518
15.872,2.0771,2.2222
16.116,2.2249,2.2513
16.363,2.3921,2.2065
16.614,2.5259,2.0934
16.869,2.5942,1.9478
17.128,2.5966,1.8113
17.391,2.5536,1.7108
17.658,2.4899,1.6553
17.929,2.4263,1.6425
18.204,2.3776,1.6641
18.484,2.3536,1.7086
18.768,2.359,1.7632
19.056,2.3937,1.8148
19.348,2.4524,1.8515
19.645,2.5258,1.8645
19.947,2.6017,1.8504
20.253,2.6679,1.8113
20.564,2.7152,1.7545
20.879,2.7393,1.6897
21.2,2.7408,1.6262
21.525,2.7233,1.5708
