"Wavelength, µm","n","k"
0.35,2.317048,0.000655
0.352,2.313395,0.000637
0.354,2.309832,0.000619
0.356,2.306355,0.000602
0.358,2.302962,0.000585
0.36,2.299649,0.000569
0.362,2.296414,0.000553
0.364,2.293255,0.000538
0.366,2.290169,0.000523
0.368,2.287153,0.000509
0.37,2.284205,0.000495
0.372,2.281324,0.000482
0.374,2.278507,0.000468
0.376,2.275751,0.000456
0.378,2.273056,0.000443
0.38,2.270419,0.000431
0.382,2.267838,0.000419
0.384,2.265313,0.000408
0.386,2.26284,0.000397
0.388,2.260419,0.000386
0.39,2.258048,0.000376
0.392,2.255726,0.000365
0.394,2.253451,0.000355
0.396,2.251222,0.000346
0.398,2.249037,0.000336
0.4,2.246896,0.000327
0.402,2.244797,0.000318
0.404,2.242739,0.000309
0.406,2.24072,0.000301
0.408,2.238741,0.000292
0.41,2.236799,0.000284
0.412,2.234894,0.000276
0.414,2.233025,0.000269
0.416,2.23119,0.000261
0.418,2.22939,0.000254
0.42,2.227622,0.000247
0.422,2.225887,0.00024
0.424,2.224183,0.000233
0.426,2.22251,0.000226
0.428,2.220867,0.00022
0.43,2.219252,0.000214
0.432,2.217666,0.000207
0.434,2.216108,0.000201
0.436,2.214577,0.000196
0.438,2.213072,0.00019
0.44,2.211593,0.000184
0.442,2.210139,0.000179
0.444,2.208709,0.000173
0.446,2.207304,0.000168
0.448,2.205921,0.000163
0.45,2.204562,0.000158
0.452,2.203225,0.000153
0.454,2.20191,0.000149
0.456,2.200616,0.000144
0.458,2.199343,0.00014
0.46,2.198091,0.000135
0.462,2.196858,0.000131
0.464,2.195645,0.000127
0.466,2.194451,0.000123
0.468,2.193275,0.000119
0.47,2.192118,0.000115
0.472,2.190979,0.000111
0.474,2.189857,0.000108
0.476,2.188752,0.000104
0.478,2.187664,0.0001
0.48,2.186592,0.0001
0.482,2.185537,0.000094
0.484,2.184497,0.00009
0.486,2.183473,0.000087
0.488,2.182463,0.000084
0.49,2.181469,0.000081
0.492,2.180489,0.000078
0.494,2.179523,0.000075
0.496,2.178571,0.000073
0.498,2.177633,0.00007
0.5,2.176708,0.000067
0.502,2.175796,0.000065
0.504,2.174897,0.000062
0.506,2.17401,0.00006
0.508,2.173136,0.000057
0.51,2.172274,0.000055
0.512,2.171424,0.000053
0.514,2.170586,0.000051
0.516,2.169759,0.000048
0.518,2.168943,0.000046
0.52,2.168138,0.000044
0.522,2.167345,0.000042
0.524,2.166561,0.000041
0.526,2.165788,0.000039
0.528,2.165026,0.000037
0.53,2.164273,0.000035
0.532,2.16353,0.000033
0.534,2.162797,0.000032
0.536,2.162074,0.00003
0.538,2.16136,0.000029
0.54,2.160655,0.000027
0.542,2.159959,0.000026
0.544,2.159272,0.000024
0.546,2.158593,0.000023
0.548,2.157923,0.000022
0.55,2.157262,0.000021
0.552,2.156609,0.000019
0.554,2.155964,0.000018
0.556,2.155327,0.000017
0.558,2.154697,0.000016
0.56,2.154076,0.000015
0.562,2.153462,0.000014
0.564,2.152856,0.000013
0.566,2.152256,0.000012
0.568,2.151665,0.000011
0.57,2.15108,0.00001
0.572,2.150502,0.000009
0.574,2.149931,0.000009
0.576,2.149367,0.000008
0.578,2.148809,0.000007
0.58,2.148258,0.000007
